Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche SAP,Normalized Power® (NP®),Training Stress Score®,Ø Leistung,Max. Leistung,Schritte,Body Battery Abnahme,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufbandtraining,2025-10-09 06:05:37,false,"Laufbandtraining","2.52","260","00:29:42","126","149","2.6","95","179","11:47","5:30","--","--","0.98","8.5","8.1","263","--","234","0.0","138","297","2,636","'-8","Nein","00:05:48.1","3","00:15:24","00:29:42","--","--"
Laufbandtraining,2025-09-18 06:11:10,false,"Laufbandtraining","1.69","138","00:12:17","135","148","2.2","144","176","7:15","5:45","--","--","0.97","8.9","8.6","272","--","261","0.0","226","287","1,770","'-4","Nein","00:05:56.5","2","00:10:25","00:12:17","--","--"
Laufbandtraining,2025-09-16 06:04:50,false,"Laufbandtraining","2.37","187","00:17:30","132","144","2.4","143","178","7:22","5:44","--","--","0.98","9.0","8.6","275","--","257","0.0","224","294","2,492","'-5","Nein","00:05:03.3","3","00:15:02","00:17:30","--","--"
Laufbandtraining,2025-09-03 06:14:19,false,"Laufbandtraining","1.99","143","00:14:27","126","140","2.1","143","178","7:15","5:44","--","--","0.98","8.6","8.4","262","--","265","0.0","225","297","2,068","'-4","Nein","00:06:00.9","2","00:11:54","00:14:27","--","--"
Laufbandtraining,2025-09-02 06:11:35,false,"Laufbandtraining","2.48","180","00:16:12","134","147","2.4","157","176","6:32","5:19","--","--","0.99","8.8","8.6","268","--","272","0.0","252","322","2,554","'-5","Nein","00:04:06.3","3","00:14:57","00:16:12","--","--"
Laufbandtraining,2025-09-01 06:17:26,false,"Laufbandtraining","2.52","183","00:18:43","126","145","2.2","144","180","7:25","5:41","--","--","0.97","9.1","8.7","278","--","256","0.0","224","307","2,672","'-5","Nein","00:06:03.4","3","00:16:09","00:18:43","--","--"
Laufbandtraining,2025-08-28 06:13:29,false,"Laufbandtraining","2.38","187","00:17:36","132","144","2.3","146","174","7:24","5:46","--","--","0.97","9.1","8.6","277","--","255","0.0","224","290","2,540","'-6","Nein","00:04:58.2","3","00:15:26","00:17:36","--","--"
Laufbandtraining,2025-08-26 06:05:00,false,"Laufbandtraining","2.37","184","00:17:02","133","142","2.3","147","173","7:12","5:47","--","--","0.96","9.0","8.6","272","--","259","0.0","230","305","2,518","'-5","Nein","00:04:33.0","3","00:14:48","00:17:02","--","--"
Laufbandtraining,2025-08-23 07:02:31,false,"Laufbandtraining","1.16","124","00:16:27","113","143","1.9","90","180","14:14","5:16","--","--","1.00","8.7","8.1","271","--","219","0.0","114","327","1,344","'-3","Nein","00:05:56.5","2","00:07:56.5","00:16:27","--","--"
Laufbandtraining,2025-08-21 06:01:26,false,"Laufbandtraining","2.37","185","00:16:54","134","145","2.4","146","173","7:07","5:47","--","--","0.99","8.9","8.7","273","--","263","0.0","232","295","2,452","'-5","Nein","00:04:38.3","3","00:14:36","00:16:54","--","--"
Laufbandtraining,2025-08-19 05:47:37,false,"Laufbandtraining","2.42","174","00:15:10","136","146","2.4","164","174","6:15","5:38","--","--","1.00","8.9","8.9","274","--","272","0.0","266","304","2,480","'-5","Nein","00:02:36.6","3","00:14:44","00:15:10","--","--"
Laufbandtraining,2025-08-14 05:56:12,false,"Laufbandtraining","2.28","182","00:14:58","142","152","2.6","156","175","6:33","5:34","--","--","1.00","8.9","8.8","273","--","272","0.0","253","313","2,324","'-5","Nein","00:02:52.5","3","00:13:55","00:14:58","--","--"
Laufbandtraining,2025-08-12 06:00:26,false,"Laufbandtraining","2.57","202","00:18:34","134","155","2.6","144","176","7:14","5:18","--","--","1.00","8.9","8.8","274","--","264","0.0","229","325","2,662","'-5","Nein","00:05:47.1","3","00:15:41","00:18:34","--","--"
Laufbandtraining,2025-08-11 06:06:22,false,"Laufbandtraining","2.48","191","00:17:45","134","155","2.6","140","176","7:09","5:10","--","--","1.00","8.8","8.9","273","--","268","0.0","231","345","2,470","'-5","Nein","00:05:37.3","3","00:14:54","00:17:45","--","--"
Laufen auf der Bahn,2025-07-05 18:09:44,false,"Graz Laufen auf der Bahn","950","60","00:11:51","91","98","0.2","56","158","12:29","8:12","--","1","0.72","8.6","6.1","444","--","72","0.0","53","183","870","--","Nein","00:00:13.5","8","00:10:44","00:11:52","353","354"
Laufen,2025-07-01 17:11:52,false,"Graz Laufen","5.18","360","00:25:58","158","174","3.8","173","179","5:01","3:45","17","18","1.15","7.9","9.1","250","5:01","340","0.0","337","413","4,480","'-6","Nein","00:00:55.5","6","00:25:50","00:25:58","364","383"
Laufen,2025-06-12 06:13:42,false,"Graz Laufen","5.30","371","00:29:08","147","160","3.4","173","181","5:29","4:57","10","14","1.06","8.2","8.6","254","5:27","309","0.0","305","403","5,010","'-9","Nein","00:02:04.5","6","00:28:45","00:29:08","369","379"
Laufen,2025-05-31 08:33:43,false,"Graz - Base","9.07","663","00:50:25","154","171","4.2","173","179","5:34","4:43","74","73","1.04","8.4","8.7","259","5:28","317","0.0","310","453","8,662","'-17","Nein","00:00:57.4","10","00:50:22","00:50:28","366","415"
Laufen,2025-05-21 16:43:10,false,"Graz - Threshold","7.68","549","00:38:11","160","180","4.3","175","190","4:58","4:05","14","9","1.15","7.8","9.0","248","4:57","353","0.0","348","456","6,640","'-11","Nein","00:00:03.1","10","00:38:07","00:38:11","364","372"
